order_id,order_date,customer_id,segment,category,sub_category,city,state,region,sales,quantity,discount,profit
ORD00516,2023-01-01,CUST5087,Consumer,Technology,Phones,Ahmedabad,Gujarat,West,54788.87,4,0.04,17692.24
ORD00918,2023-01-01,CUST6477,Corporate,Furniture,Tables,Indore,Madhya Pradesh,Central,16273.33,2,0.1,3616.29
ORD00605,2023-01-01,CUST7950,Home Office,Technology,Phones,Kolkata,West Bengal,East,11161.29,1,0.12,2917.16
ORD00792,2023-01-01,CUST7521,Corporate,Technology,Copiers,Siliguri,West Bengal,East,11158.45,1,0.07,3359.53
ORD00171,2023-01-02,CUST1510,Home Office,Office Supplies,Paper,Gaya,Bihar,East,441.14,1,0.04,165.43
ORD00060,2023-01-02,CUST8144,Home Office,Furniture,Furnishings,Jaipur,Rajasthan,West,6403.25,1,0.06,1634.87
ORD00213,2023-01-02,CUST4509,Consumer,Technology,Machines,Gaya,Bihar,East,9315.3,1,0.26,1132.95
ORD00712,2023-01-03,CUST6253,Consumer,Furniture,Furnishings,Warangal,Telangana,South,6265.41,1,0.2,783.18
ORD01054,2023-01-04,CUST9973,Home Office,Technology,Machines,Gaya,Bihar,East,12379.18,1,0.01,4251.43
ORD00773,2023-01-04,CUST8503,Home Office,Office Supplies,Art,Kolkata,West Bengal,East,908.89,2,0.2,227.22
ORD00111,2023-01-05,CUST7693,Consumer,Furniture,Chairs,Mumbai,Maharashtra,West,6978.91,1,0.09,1610.52
ORD00829,2023-01-05,CUST9529,Consumer,Furniture,Bookcases,Raipur,Chhattisgarh,Central,7468.5,1,0.17,1169.76
ORD00336,2023-01-05,CUST9147,Home Office,Office Supplies,Storage,Bhilai,Chhattisgarh,Central,687.73,1,0.01,270.92
ORD00577,2023-01-05,CUST7704,Consumer,Office Supplies,Binders,Siliguri,West Bengal,East,555.51,1,0.06,200.93
ORD00673,2023-01-05,CUST6792,Corporate,Technology,Machines,Siliguri,West Bengal,East,20125.29,2,0.13,5089.15
ORD00769,2023-01-06,CUST1984,Consumer,Technology,Phones,Mysuru,Karnataka,South,8674.21,1,0.14,2118.12
ORD01014,2023-01-07,CUST5965,Consumer,Office Supplies,Art,Bengaluru,Karnataka,South,1498.0,3,0.1,499.33
ORD00711,2023-01-07,CUST5744,Consumer,Office Supplies,Art,Mumbai,Maharashtra,West,1888.68,4,0.12,600.95
ORD00698,2023-01-08,CUST2687,Corporate,Technology,Machines,Kolkata,West Bengal,East,9096.75,1,0.16,2057.6
ORD00555,2023-01-08,CUST9095,Consumer,Office Supplies,Paper,New Delhi,Delhi,East,3681.66,6,0.07,1306.4
ORD00992,2023-01-08,CUST4277,Home Office,Office Supplies,Binders,New Delhi,Delhi,East,1008.71,2,0.07,357.93
ORD00474,2023-01-09,CUST9035,Consumer,Technology,Accessories,Margao,Goa,West,10447.42,1,0.06,3223.14
ORD00219,2023-01-09,CUST3267,Consumer,Office Supplies,Storage,Kochi,Kerala,South,631.79,1,0.05,232.76
